species_num,species,species_ja,species_ko,full_name,form_name,form_index,form_argument,introduced_gen,state_kind,type1,type2,hp,atk,def,spe,spa,spd,abilities,parameter_context,verification_status,source,notes
3,Venusaur,フシギバナ,이상해꽃,Venusaur,Base,0,,1,base_form,Grass,Poison,80,82,83,80,100,100,Overgrow|Chlorophyll,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
3,Venusaur,フシギバナ,이상해꽃,Venusaur-Gmax,Gmax,,,8,battle_transformation,Grass,Poison,80,82,83,80,100,100,Overgrow|Chlorophyll,current cross-generation reference; historical per-title overrides tracked in generation research,semantic_verified_not_persistent,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
3,Venusaur,フシギバナ,이상해꽃,Venusaur-Mega,Mega,1,,6,battle_transformation,Grass,Poison,80,100,123,80,122,120,Thick Fat,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
6,Charizard,リザードン,리자몽,Charizard,Base,0,,1,base_form,Fire,Flying,78,84,78,100,109,85,Blaze|Solar Power,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
6,Charizard,リザードン,리자몽,Charizard-Gmax,Gmax,,,8,battle_transformation,Fire,Flying,78,84,78,100,109,85,Blaze|Solar Power,current cross-generation reference; historical per-title overrides tracked in generation research,semantic_verified_not_persistent,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
6,Charizard,リザードン,리자몽,Charizard-Mega-X,Mega-X,1,,6,battle_transformation,Fire,Dragon,78,130,111,100,130,85,Tough Claws,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
6,Charizard,リザードン,리자몽,Charizard-Mega-Y,Mega-Y,2,,6,battle_transformation,Fire,Flying,78,104,78,100,159,115,Drought,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
9,Blastoise,カメックス,거북왕,Blastoise,Base,0,,1,base_form,Water,,79,83,100,78,85,105,Torrent|Rain Dish,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
9,Blastoise,カメックス,거북왕,Blastoise-Gmax,Gmax,,,8,battle_transformation,Water,,79,83,100,78,85,105,Torrent|Rain Dish,current cross-generation reference; historical per-title overrides tracked in generation research,semantic_verified_not_persistent,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
9,Blastoise,カメックス,거북왕,Blastoise-Mega,Mega,1,,6,battle_transformation,Water,,79,103,120,78,135,115,Mega Launcher,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
12,Butterfree,バタフリー,버터플,Butterfree,Base,0,,1,base_form,Bug,Flying,60,45,50,70,90,80,Compound Eyes|Tinted Lens,current cross-generation reference; historical per-title overrides tracked in generation research,base_identity,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
12,Butterfree,バタフリー,버터플,Butterfree-Gmax,Gmax,,,8,battle_transformation,Bug,Flying,60,45,50,70,90,80,Compound Eyes|Tinted Lens,current cross-generation reference; historical per-title overrides tracked in generation research,semantic_verified_not_persistent,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
15,Beedrill,スピアー,독침붕,Beedrill,Base,0,,1,base_form,Bug,Poison,65,90,40,75,45,80,Swarm|Sniper,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
15,Beedrill,スピアー,독침붕,Beedrill-Mega,Mega,1,,6,battle_transformation,Bug,Poison,65,150,40,145,15,80,Adaptability,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
18,Pidgeot,ピジョット,피죤투,Pidgeot,Base,0,,1,base_form,Normal,Flying,83,80,75,101,70,70,Keen Eye|Tangled Feet|Big Pecks,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
18,Pidgeot,ピジョット,피죤투,Pidgeot-Mega,Mega,1,,6,battle_transformation,Normal,Flying,83,80,80,121,135,80,No Guard,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
19,Rattata,コラッタ,꼬렛,Rattata,Base,0,,1,base_form,Normal,,30,56,35,72,25,35,Run Away|Guts|Hustle,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
19,Rattata,コラッタ,꼬렛,Rattata-Alola,Alola,1,,7,persistent_identity,Dark,Normal,30,56,35,72,25,35,Gluttony|Hustle|Thick Fat,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
20,Raticate,ラッタ,레트라,Raticate,Base,0,,1,base_form,Normal,,55,81,60,97,50,70,Run Away|Guts|Hustle,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
20,Raticate,ラッタ,레트라,Raticate-Alola,Alola,1,,7,persistent_identity,Dark,Normal,75,71,70,77,40,80,Gluttony|Hustle|Thick Fat,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
20,Raticate,ラッタ,레트라,Raticate-Alola-Totem,Alola-Totem,2,,7,hidden_internal_form,Dark,Normal,75,71,70,77,40,80,Thick Fat,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu,Base,0,,1,base_form,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Gmax,Gmax,,,8,battle_transformation,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,semantic_verified_not_persistent,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Original,Original,1,,7,persistent_identity,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Hoenn,Hoenn,2,,7,persistent_identity,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Sinnoh,Sinnoh,3,,7,persistent_identity,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Unova,Unova,4,,7,persistent_identity,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Kalos,Kalos,5,,7,persistent_identity,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Alola,Alola,6,,7,persistent_identity,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Partner,Partner,7,,7,persistent_identity,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Starter,Starter,8,,1,persistent_identity,Electric,,45,80,50,120,75,60,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-World,World,9,,8,persistent_identity,Electric,,35,55,40,90,50,50,Static|Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
25,Pikachu,ピカチュウ,피카츄,Pikachu-Rock-Star,Rock-Star,10,,6,persistent_identity,Electric,,35,55,40,90,50,50,Lightning Rod,current cross-generation reference; historical per-title overrides tracked in generation research,reference_order_only,PokemonShowdown@2ddfa0476f8207e12e204b1c69f7c7683b17633c;PKHeX@8ad201e80244f630ab5a46922ab72fb79c5ad4f4,
