johto_area,source_scope,primary_donor,secondary_or_layout_donors,reuse_strategy,custom_required,implementation_note
New Bark Town,"NEW_BARK group; town + Elm Lab + player houses + Route 29","General","LittlerootTown; Brendans/Mays House; Lab","direct GBA grammar + rebuilt Johto layout",yes,"Preserve GSC/HGSS geometry; Littleroot is implementation/scale donor only."
Cherrygrove City,"CHERRYGROVE group; Routes 30-31","General","OldaleTown; Petalburg","direct GBA grammar + rebuilt Johto layout",yes,"Small-town donor set."
Violet City,"VIOLET group; Routes 32/35/36/37","General","Rustboro; Petalburg; PokemonSchool","mixed visual/structural donor",yes,"Sprout Tower and city identity need Johto-specific tiles."
Azalea Town + Ilex Forest,"AZALEA + Ilex maps","General","Fortree; PetalburgWoods; Cave","forest/bridge behavior donor + custom Johto art",yes,"Ilex Forest keeps source topology and identity."
Goldenrod City,"GOLDENROD group","General/Building","Mauville; Slateport; Rustboro; BikeShop; MauvilleGameCorner; Lilycove Dept Store; Facility","high-reuse urban/function donor",yes,"Largest Hoenn reuse opportunity; Radio Tower/Magnet Train remain custom."
Ecruteak City + Towers,"ECRUTEAK + tower dungeons","General/Building","Fallarbor; Lavaridge; MtPyre; SkyPillar","structural donor + custom traditional-Johto art",yes,"Do not visually Hoenn-ize Ecruteak."
Olivine City + Lighthouse,"OLIVINE group","General/Building","Slateport; Lilycove; OceanicMuseum; InsideShip","coastal/large-building donor",yes,"Strong harbor/lighthouse fit."
Cianwood City,"CIANWOOD group; Routes 40-41","General","Dewford; SeashoreHouse; Slateport support","coastal-town donor",yes,"Keep sparse island identity."
Mahogany Town,"MAHOGANY group","General","Fallarbor; Lavaridge; GenericBuilding","small mountain-town donor",yes,"Rocket plot handled by separate base conversion."
Lake of Rage,"LAKE_OF_RAGE group","General","Route119/120 layout grammar; Rustboro windy-water animation","outdoor/water donor",yes,"Preserve lake scale and Red Gyarados positions."
Blackthorn City + Dragon's Den,"BLACKTHORN group","General","EverGrande; Sootopolis; Cave; MeteorFalls","highland/cave donor",yes,"City geometry and Dragon's Den remain Johto-authored."
Ice Path,"DUNGEONS: ICE_PATH_*","General","Cave; ShoalCave_LowTideIceRoom; SootopolisGym","cave + ice behavior donor",yes,"Reuse MB_ICE/THIN_ICE/CRACKED_ICE/slide behavior; source puzzle geometry remains authoritative."
Union Cave / Slowpoke Well / Dark Cave,"DUNGEONS cave families","General","Cave; GraniteCave; RusturfTunnel","direct technical cave donor",yes,"Preserve floor topology and encounters/events."
Mt Mortar / Tohjo Falls,"DUNGEONS waterfall cave families","General","Cave; MeteorFalls","waterfall/multi-floor donor",yes,"Strong technical fit."
Whirl Islands,"DUNGEONS: WHIRL_ISLAND_*","General","Cave; MeteorFalls; Pacifidlog currents","cave + water/current behavior donor",yes,"Whirlpool stays a Johto-specific field-move mechanic."
Ruins of Alph,"DUNGEONS: RUINS_OF_ALPH_*","General/Building","AncientTomb; DesertRuins; IslandCave; Cave","ancient-room donor + custom Unown art",yes,"Preserve four puzzle chambers and unlock semantics."
National Park + Bug Contest,"DUNGEONS: NATIONAL_PARK*","General","SafariZone; Fortree/PetalburgWoods support","large natural-area donor",yes,"Contest remains a separate encounter/script provider."
Team Rocket Base,"DUNGEONS: TEAM_ROCKET_BASE_*","Building","AquaHideout; MagmaHideout; NewMauville; MauvilleGym","enemy-base/industrial donor",yes,"Reuse barriers/switches/warp machinery, preserve GSC progression."
Goldenrod Underground,"DUNGEONS: GOLDENROD_UNDERGROUND*","Building","AquaHideout; GenericBuilding; Facility","interior corridor donor",yes,"Preserve switch puzzle and warehouse topology."
Radio Tower,"DUNGEONS: RADIO_TOWER_*","Building","Facility; Rustboro Devon Corp; OceanicMuseum","multi-floor office/tower donor",yes,"Strong structural reuse, Johto visuals custom."
S.S. Aqua / Fast Ship,"FAST_SHIP group","Building","InsideShip; AbandonedShip","direct ship donor",yes,"Reuse room/corridor grammar; preserve passenger events."
Indigo Plateau,"INDIGO group","Building","EliteFour; EverGrande Pokemon League","direct League donor",yes,"FRLG can also contribute Kanto League visuals."
Silver Cave,"SILVER + SILVER_CAVE_*","General","Cave; MeteorFalls; EverGrande","highland/endgame cave donor",yes,"Preserve Red encounter progression."
Crystal Battle Tower,"Crystal-only Battle Tower maps","Building","BattleFrontier; BattleFrontier_BattleTower*","direct GBA facility donor",yes,"Emerald Battle Tower is preferred GBA implementation skeleton."
Kanto after Johto,"all Gen II Kanto groups","FRLG-first","FireRed/LeafGreen maps and tilesets","FRLG-first; Hoenn fallback only",yes,"Do not rebuild Kanto from Hoenn; convert official GBA Kanto to the Gen II three-years-later state."
